"","faminc","cigtax","cigprice","bwght","fatheduc","motheduc","parity","male","white","cigs","lbwght","bwghtlbs","packs","lfaminc"
"170",22.5,10,126.400001525879,114,11,6,1,1,1,0,4.73619794845581,7.125,0,3.11351490020752
"171",37.5,10,126.400001525879,116,13,15,1,1,1,0,4.75359010696411,7.25,0,3.62434101104736
"172",8.5,10,126.400001525879,141,NA,12,2,1,1,5,4.94876003265381,8.8125,0.25,2.14006590843201
"173",42.5,10,126.400001525879,141,13,12,2,1,1,0,4.94876003265381,8.8125,0,3.74950408935547
"174",65,10,126.400001525879,120,16,16,2,0,1,0,4.78749179840088,7.5,0,4.17438697814941
"175",12.5,10,126.400001525879,110,12,13,1,0,1,0,4.70047998428345,6.875,0,2.52572894096375
"176",27.5,10,126.400001525879,120,13,14,1,0,1,0,4.78749179840088,7.5,0,3.31418609619141
"177",27.5,10,126.400001525879,125,14,18,2,1,1,0,4.82831382751465,7.8125,0,3.31418609619141
"178",65,10,126.400001525879,82,15,11,2,0,0,0,4.40671920776367,5.125,0,4.17438697814941
"179",22.5,10,126.400001525879,141,12,12,1,0,1,0,4.94876003265381,8.8125,0,3.11351490020752
"180",18.5,10,126.400001525879,144,7,8,2,1,1,0,4.96981287002563,9,0,2.91777110099792
"181",13.5,10,126.400001525879,102,12,12,2,0,1,0,4.62497282028198,6.375,0,2.60268998146057
"182",18.5,10,126.400001525879,121,12,10,1,1,1,0,4.7957911491394,7.5625,0,2.91777110099792
"183",27.5,10,126.400001525879,80,14,12,1,0,0,0,4.38202714920044,5,0,3.31418609619141
"184",22.5,10,126.400001525879,106,12,12,2,0,1,0,4.66343879699707,6.625,0,3.11351490020752
"185",65,10,126.400001525879,116,15,12,1,0,1,0,4.75359010696411,7.25,0,4.17438697814941
"186",32.5,10,126.400001525879,116,12,12,1,0,1,10,4.75359010696411,7.25,0.5,3.48124003410339
"187",22.5,10,126.400001525879,123,13,13,2,1,1,0,4.81218385696411,7.6875,0,3.11351490020752
"188",37.5,10,126.400001525879,132,12,15,1,0,1,0,4.88280200958252,8.25,0,3.62434101104736
"189",47.5,10,126.400001525879,118,11,10,2,1,1,20,4.77068519592285,7.375,1,3.86072993278503
"190",65,10,126.400001525879,131,18,17,2,1,1,0,4.87519693374634,8.1875,0,4.17438697814941
"191",32.5,10,126.400001525879,152,18,14,1,1,0,0,5.02388000488281,9.5,0,3.48124003410339
"192",10.5,10,126.400001525879,120,4,12,3,1,1,0,4.78749179840088,7.5,0,2.35137510299683
"193",22.5,10,126.400001525879,145,12,12,1,0,1,0,4.97673416137695,9.0625,0,3.11351490020752
"194",37.5,10,126.400001525879,124,14,16,1,1,0,0,4.82028198242188,7.75,0,3.62434101104736
"195",65,10,126.400001525879,142,18,9,1,1,1,0,4.95582723617554,8.875,0,4.17438697814941
"196",65,10,126.400001525879,117,16,18,2,0,1,0,4.76217412948608,7.3125,0,4.17438697814941
"197",10.5,10,126.400001525879,100,12,7,1,0,1,0,4.60516977310181,6.25,0,2.35137510299683
"198",32.5,10,126.400001525879,120,16,13,1,1,1,0,4.78749179840088,7.5,0,3.48124003410339
"199",32.5,10,126.400001525879,145,16,13,1,1,1,0,4.97673416137695,9.0625,0,3.48124003410339
"200",65,10,126.400001525879,123,18,16,1,1,1,0,4.81218385696411,7.6875,0,4.17438697814941
"201",47.5,10,126.400001525879,166,17,14,2,1,1,0,5.11198806762695,10.375,0,3.86072993278503
"202",32.5,10,126.400001525879,103,13,14,2,0,1,8,4.63472890853882,6.4375,0.400000005960464,3.48124003410339
"203",6.5,10,126.400001525879,133,NA,10,2,1,1,0,4.8903489112854,8.3125,0,1.87180197238922
"204",12.5,10,126.400001525879,112,5,7,2,0,0,0,4.71849918365479,7,0,2.52572894096375
"205",47.5,10,126.400001525879,119,14,11,1,1,1,0,4.77912282943726,7.4375,0,3.86072993278503
"206",19.5,10,126.400001525879,123,12,12,1,1,1,0,4.81218385696411,7.6875,0,2.97041392326355
"207",7.5,10,126.400001525879,107,7,NA,1,0,1,0,4.67282915115356,6.6875,0,2.01490306854248
"208",8.5,10,126.400001525879,145,8,9,3,1,1,0,4.97673416137695,9.0625,0,2.14006590843201
"209",19.5,10,126.400001525879,133,NA,14,1,0,1,0,4.8903489112854,8.3125,0,2.97041392326355
"210",65,10,126.400001525879,146,16,13,4,1,1,0,4.98360681533813,9.125,0,4.17438697814941
"211",32.5,10,126.400001525879,134,12,14,1,0,1,0,4.89784002304077,8.375,0,3.48124003410339
"212",65,10,126.400001525879,140,14,14,1,1,1,0,4.94164180755615,8.75,0,4.17438697814941
"213",19.5,10,126.400001525879,95,10,12,3,0,0,0,4.55387687683105,5.9375,0,2.97041392326355
"214",17.5,10,126.400001525879,126,13,13,2,0,0,0,4.83628177642822,7.875,0,2.86220097541809
"215",27.5,10,126.400001525879,134,12,15,1,0,1,0,4.89784002304077,8.375,0,3.31418609619141
"216",12.5,10,126.400001525879,64,6,7,1,1,1,0,4.1588830947876,4,0,2.52572894096375
"217",27.5,10,126.400001525879,119,NA,15,1,0,1,4,4.77912282943726,7.4375,0.200000002980232,3.31418609619141
"218",32.5,10,126.400001525879,140,13,16,2,1,1,0,4.94164180755615,8.75,0,3.48124003410339
"219",22.5,10,126.400001525879,120,6,6,3,0,1,0,4.78749179840088,7.5,0,3.11351490020752
"220",18.5,10,126.400001525879,103,13,14,2,0,1,0,4.63472890853882,6.4375,0,2.91777110099792
"221",32.5,10,126.400001525879,68,12,12,2,1,1,20,4.21950817108154,4.25,1,3.48124003410339
"222",42.5,10,126.400001525879,97,14,12,1,0,0,0,4.57471084594727,6.0625,0,3.74950408935547
"223",37.5,10,126.400001525879,120,12,12,2,0,1,0,4.78749179840088,7.5,0,3.62434101104736
"224",32.5,10,126.400001525879,121,15,14,1,0,1,0,4.7957911491394,7.5625,0,3.48124003410339
"225",9.5,10,126.400001525879,130,NA,8,2,1,1,0,4.86753511428833,8.125,0,2.25129199028015
"226",15.5,10,126.400001525879,115,12,12,1,0,1,10,4.74493217468262,7.1875,0.5,2.74083995819092
"227",65,10,126.400001525879,112,16,18,2,1,0,0,4.71849918365479,7,0,4.17438697814941
"228",65,10,126.400001525879,120,12,12,1,1,1,0,4.78749179840088,7.5,0,4.17438697814941
"229",22.5,10,126.400001525879,103,13,13,3,0,1,12,4.63472890853882,6.4375,0.600000023841858,3.11351490020752
"230",32.5,10,126.400001525879,100,12,12,1,0,1,0,4.60516977310181,6.25,0,3.48124003410339
"231",65,10,126.400001525879,117,13,16,1,0,1,0,4.76217412948608,7.3125,0,4.17438697814941
"232",65,10,126.400001525879,126,18,18,1,0,1,0,4.83628177642822,7.875,0,4.17438697814941
"233",5.5,10,126.400001525879,142,NA,13,2,1,1,0,4.95582723617554,8.875,0,1.70474803447723
"234",22.5,10,126.400001525879,120,12,13,1,1,0,0,4.78749179840088,7.5,0,3.11351490020752
"235",13.5,10,126.400001525879,111,3,4,5,1,0,0,4.70952987670898,6.9375,0,2.60268998146057
"236",65,10,126.400001525879,152,12,12,2,1,1,0,5.02388000488281,9.5,0,4.17438697814941
"237",65,10,126.400001525879,124,18,17,1,0,1,0,4.82028198242188,7.75,0,4.17438697814941
"238",27.5,10,126.400001525879,146,13,12,2,1,1,0,4.98360681533813,9.125,0,3.31418609619141
"239",27.5,10,126.400001525879,102,15,16,1,1,1,0,4.62497282028198,6.375,0,3.31418609619141
"240",27.5,10,126.400001525879,129,12,6,2,1,1,0,4.85981178283691,8.0625,0,3.31418609619141
"241",10.5,10,126.400001525879,125,12,12,3,1,1,0,4.82831382751465,7.8125,0,2.35137510299683
"242",9.5,10,126.400001525879,126,16,14,3,0,0,0,4.83628177642822,7.875,0,2.25129199028015
"243",0.5,10,126.400001525879,101,NA,3,1,0,1,0,4.61511993408203,6.3125,0,-0.6931471824646
"244",32.5,10,126.400001525879,113,16,12,2,1,1,0,4.72738790512085,7.0625,0,3.48124003410339
"245",19.5,10,126.400001525879,136,12,12,3,0,0,0,4.91265487670898,8.5,0,2.97041392326355
"246",42.5,10,126.400001525879,101,5,9,4,0,1,0,4.61511993408203,6.3125,0,3.74950408935547
"247",65,10,126.400001525879,106,18,18,1,1,1,0,4.66343879699707,6.625,0,4.17438697814941
"248",65,10,126.400001525879,100,16,18,2,0,1,0,4.60516977310181,6.25,0,4.17438697814941
"249",42.5,10,126.400001525879,130,15,14,1,0,1,0,4.86753511428833,8.125,0,3.74950408935547
"250",37.5,10,126.400001525879,136,17,12,3,0,0,0,4.91265487670898,8.5,0,3.62434101104736
"251",6.5,10,126.400001525879,100,NA,10,2,1,0,0,4.60516977310181,6.25,0,1.87180197238922
"252",65,10,126.400001525879,122,16,16,1,0,1,0,4.80402088165283,7.625,0,4.17438697814941
"253",1.5,10,126.400001525879,90,NA,11,1,0,0,0,4.49981021881104,5.625,0,0.405465096235275
"254",65,20,130.800003051758,94,13,12,1,0,1,0,4.54329490661621,5.875,0,4.17438697814941
"255",32.5,20,130.800003051758,108,9,13,1,1,1,0,4.68213081359863,6.75,0,3.48124003410339
"256",65,20,130.800003051758,107,18,18,2,1,1,0,4.67282915115356,6.6875,0,4.17438697814941
"257",17.5,20,130.800003051758,119,13,12,4,1,1,20,4.77912282943726,7.4375,1,2.86220097541809
"258",18.5,20,130.800003051758,106,12,12,1,0,1,0,4.66343879699707,6.625,0,2.91777110099792
"259",13.5,20,130.800003051758,113,12,12,2,1,1,0,4.72738790512085,7.0625,0,2.60268998146057
"260",10.5,20,130.800003051758,132,12,12,1,1,1,0,4.88280200958252,8.25,0,2.35137510299683
"261",18.5,20,130.800003051758,99,13,9,3,0,0,0,4.59511995315552,6.1875,0,2.91777110099792
"262",13.5,20,130.800003051758,110,11,11,3,0,1,10,4.70047998428345,6.875,0.5,2.60268998146057
"263",32.5,20,130.800003051758,76,13,18,1,0,1,10,4.33073282241821,4.75,0.5,3.48124003410339
